company_name,parent_country,city,county,sector,operational_status,confidence,source_url,notes,data_source
"American Newlong, Inc.",Japan,Indianapolis,Marion,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 5310 S. Harding, Indianapolis 46217. Newlong Industrial (Tokyo); bagging machines.",JETRO
Anderson Development Company,Japan,Gary,Lake,Manufacturing,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Address: 3400 W. 4th Street, Gary 46406.",JETRO
Apollo America Corporation,Japan,Jeffersonville,Clark,Automotive,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Address: 701 Port Road, Jeffersonville 47130.",JETRO
Applied Electronics Corp. – America (AEC-America),Japan,Columbus,Bartholomew,Electronics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
"Arvin Sango, Inc.",Japan,Madison,Jefferson,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 2905 Wilson Avenue, Madison 47250. Sango Co., Ltd. (Japan); exhaust systems.",JETRO
Asahi-Tec America,Japan,Richmond,Wayne,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 1757 Sheridan Street, Richmond 47374. Asahi Tec Corp. (Shizuoka); aluminum wheels.",JETRO
Associated Global Systems (Hendricks),Japan,Avon,Hendricks,Logistics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Atom Precision of America,Japan,Greenwood,Johnson,Manufacturing,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Address: 134 S. Park Blvd., Greenwood 46143.",JETRO
"Austin Tri-Hawk Automotive, Inc.",Japan,Austin,Scott,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 2001 W. Just Industrial Parkway, Austin 47102.",JETRO
Bastian Solutions,Japan,Fort Wayne,Allen,Logistics/Tech,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Automation/material handling; subsidiary of Toyota Industries.,JETRO
Bastian Solutions (Hamilton),Japan,Noblesville,Hamilton,Logistics/Tech,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Automation; Toyota Industries subsidiary.,JETRO
Bastian Solutions (Hancock),Japan,Greenfield,Hancock,Logistics/Tech,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Bastian Solutions (Marion),Japan,Indianapolis,Marion,Logistics/Tech,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Bastian Solutions (Vanderburgh),Japan,Evansville,Vanderburgh,Logistics/Tech,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
Blasdel Enterprises,Japan,Greensburg,Decatur,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Blue River Stamping Company,Japan,Shelbyville,Shelby,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 1755 MaCall Drive, Shelbyville 46176.",JETRO
C & M Fine Pack Inc.,Japan,Fort Wayne,Allen,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. City: Fort Wayne (46804) confirmed.,JETRO
C&A Tool Engineering,Japan,Auburn,DeKalb,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Precision tooling. Also Whitley County location.,JETRO
C&A Tool Engineering (Whitley),Japan,Columbia City,Whitley,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Also has DeKalb County location.,JETRO
CGB Enterprises – Grain (Bartholomew),Japan,Columbus,Bartholomew,Agriculture,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Grain merchandising; CGB parent is Zen-Noh (Japan). Multiple IN county locations.,JETRO
CGB Enterprises – Grain (Clark),Japan,Jeffersonville,Clark,Agriculture,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
CGB Enterprises – Grain (Gibson),Japan,Princeton,Gibson,Agriculture,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
CGB Enterprises – Grain (Jefferson),Japan,Madison,Jefferson,Agriculture,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
CME Automotive Company,Japan,Monroeville,Allen,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. City: Monroeville (46733) confirmed.,JETRO
Canon Office Solutions,Japan,Fort Wayne,Allen,Electronics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Capco LLC,Japan,Columbus,Bartholomew,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. City: Columbus (47201) confirmed.,JETRO
Carlex Glass of Indiana,Japan,Auburn,DeKalb,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Automotive glass; NSG Group (Nippon Sheet Glass, Tokyo). Also Noble County location.",JETRO
Carlex Glass of Indiana (Noble),Japan,Ligonier,Noble,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. NSG Group; automotive glass. Also DeKalb County location.,JETRO
Carlex Indiana Assembly,Japan,Lafayette,Tippecanoe,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. NSG Group / Carlex Glass; auto glass assembly.,JETRO
Carter Logistics,Japan,Anderson,Madison,Logistics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Castec Corporation,Japan,Munster,Lake,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. NOTE: JcomplistEng lists 1048 Azalea Dr., Munster 46321 (Lake County). IEDC lists Marion. City/county conflict — Munster/Lake is the physical address.",JETRO
Cathay Industries USA,Japan,Portage,Porter,Chemicals,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
Chemtrusion / Mytex Polymers,Japan,Jeffersonville,Clark,Chemicals,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Mytex Polymers is Mitsui Chemicals + ExxonMobil JV.,JETRO
Chiyoda Montrow Die Manufacturing,Japan,North Vernon,Jennings,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Chiyoda USA Corp.,Japan,Greencastle,Putnam,Construction,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Chiyoda Corp. (Yokohama); EPC/engineering.,JETRO
Clarion Corporation,Japan,Kokomo,Howard,Electronics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 1769 E. Lincoln Rd., Kokomo 46902. Car audio/infotainment; Faurecia-Clarion (formerly Hitachi group).",JETRO
Consolidated Terminals and Logistics Co.,Japan,Jeffersonville,Clark,Logistics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Continental Carbonic Products,Japan,Washington,Daviess,Chemicals,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Multiple IN locations. Messer Group (Iwatani-related); CO2.,JETRO
Continental Structural Plastics (Teijin),Japan,Fort Wayne,Allen,Automotive,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Teijin group; also has Huntington County location (confirmed expansion 2022).,JETRO
Core BTS,Japan,Fort Wayne,Allen,Technology,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. IT services; Japanese-affiliated.,JETRO
CrownBio,Japan,Indianapolis,Marion,Medical/Pharma,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Japanese-affiliated biotech/research.,JETRO
Cullman Castings,Japan,North Vernon,Jennings,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Cummins Komatsu Engine Co.,Japan,Seymour,Jackson,Industrial Equipment,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 800 E. 3rd Street, Seymour 47274. Komatsu Ltd. (Tokyo) + Cummins JV.",JETRO
Curtis-Maruyasu America,Japan,Rockport,Spencer,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Maruyasu Industries (Aichi, Japan); steel tubes for autos.",JETRO
D K K of America,Japan,Columbus,Bartholomew,Electronics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
DENSO,Japan,Jeffersonville,Clark,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. DENSO Corp. (Kariya, Japan); engine management / thermal systems.",JETRO
DENSO Products and Services Americas Inc,Japan,Jeffersonville,Clark,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Phase 4: $9.5M distribution center 2019 / 50 jobs. See Phase 4 APAC Sweep sheet.,JETRO
"Daiei, Inc.",Japan,Columbus,Bartholomew,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. $3.35M new U.S. manufacturing facility; announced Nov 2015 (Area Development).,JETRO
DataBank,Japan,Portage,Porter,Technology,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
Dayton Progress,Japan,Portland,Jay,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Tooling for stamping/forming; Dayton Progress (Japanese-affiliated).,JETRO
Diamet Corporation,Japan,Columbus,Bartholomew,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. City: Columbus (47202) confirmed. Powder metal parts.,JETRO
"Diversity-Vuteq, LLC",Japan,Princeton,Gibson,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. JV with Vuteq; automotive parts for Toyota.,JETRO
Elsa Corp.,Japan,Elwood,Madison,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 1240 South State Road 37, Elwood 46036.",JETRO
Enkei America Inc,Japan,Columbus,Bartholomew,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. City: Columbus (47201) confirmed. Aluminum wheels.,JETRO
Enkei America Moldings,Japan,Columbus,Bartholomew,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Enprotech Industrial Technologies,Japan,Michigan City,LaPorte,Industrial Equipment,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Epson America (Hendricks),Japan,Plainfield,Hendricks,Electronics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Seiko Epson Corp. (Suwa, Japan); printers/electronics distribution.",JETRO
Excell USA,Japan,Vincennes,Knox,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 1065 E. Beckes Lane, Vincennes 47591.",JETRO
"FCC (Adams), LLC",Japan,Decatur,Adams,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Phase 4: $24M expansion 2018 / 51 jobs. See Phase 4 APAC Sweep sheet.,JETRO
"FCC (Indiana), Inc.",Japan,Portland,Jay,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 555 Industrial Park Road, Portland 47371. F.C.C. Co., Ltd. (Hamamatsu); clutches.",JETRO
FIA Corporation,Japan,Vincennes,Knox,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 3320 S. Keller Rd., Vincennes 47591.",JETRO
Femco Magnet Wire,Japan,Franklin,Johnson,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 1900 Earlywood Drive, Franklin 46131.",JETRO
Firestone Building Products,Japan,Plainfield,Hendricks,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Bridgestone group; roofing products.,JETRO
Firestone Building Products (Marion),Japan,Indianapolis,Marion,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Bridgestone group; roofing.,JETRO
